name	cell_type	depth	sparsity
JL_457_1_ACTTGA.txt	2i	61399	11828
JL_457_1_CGATGT.txt	2i	40753	9198
JL_457_1_GCCAAT.txt	2i	79905	10698
JL_457_1_TAGCTT.txt	2i	58210	10729
JL_457_10_ACTTGA.txt	2i	85360	14702
JL_457_10_CGATGT.txt	2i	66384	12530
JL_457_10_GCCAAT.txt	2i	86303	10701
JL_457_11_ACTTGA.txt	2i	89315	16361
JL_457_11_TAGCTT.txt	2i	74691	13816
JL_457_12_ACTTGA.txt	2i	72398	11662
JL_457_12_CGATGT.txt	2i	70929	12299
JL_457_12_GCCAAT.txt	2i	80571	12967
JL_457_12_TAGCTT.txt	2i	66543	10438
JL_457_2_CGATGT.txt	2i	59621	11858
JL_457_2_GCCAAT.txt	2i	71175	13604
JL_457_2_TAGCTT.txt	2i	80739	10607
JL_457_3_ACTTGA.txt	2i	73502	12919
JL_457_3_CGATGT.txt	2i	64809	8403
JL_457_3_GCCAAT.txt	2i	87552	9555
JL_457_3_TAGCTT.txt	2i	65465	10329
JL_457_4_ACTTGA.txt	2i	65649	14500
JL_457_4_CGATGT.txt	2i	63937	10271
JL_457_4_GCCAAT.txt	2i	80870	11511
JL_457_4_TAGCTT.txt	2i	60531	11503
JL_457_5_ACTTGA.txt	2i	74949	11877
JL_457_5_CGATGT.txt	2i	64328	12357
JL_457_5_GCCAAT.txt	2i	86000	13982
JL_457_5_TAGCTT.txt	2i	74698	15696
JL_457_6_ACTTGA.txt	2i	63471	12241
JL_457_6_CGATGT.txt	2i	44848	11321
JL_457_6_GCCAAT.txt	2i	77145	12230
JL_457_6_TAGCTT.txt	2i	54340	10343
JL_457_7_ACTTGA.txt	2i	89895	13783
JL_457_7_CGATGT.txt	2i	63607	13054
JL_457_7_GCCAAT.txt	2i	104042	13105
JL_457_7_TAGCTT.txt	2i	96859	12318
JL_457_8_ACTTGA.txt	2i	108144	12319
JL_457_8_CGATGT.txt	2i	61078	12247
JL_457_8_GCCAAT.txt	2i	87149	11538
JL_457_8_TAGCTT.txt	2i	83005	10014
JL_457_9_ACTTGA.txt	2i	97977	18116
JL_457_9_CGATGT.txt	2i	95567	12413
JL_457_9_GCCAAT.txt	2i	106572	12999
JL_458_1_GCCAAT.txt	2i	63881	19807
JL_458_5_ACTTGA.txt	2i	65171	12250
JL_458_5_CGATGT.txt	2i	71797	12996
JL_458_8_TAGCTT.txt	2i	66640	14019
JL_392_1_ACTTGA.txt	Serum 1	175663	14919
JL_392_1_CGATGT.txt	Serum 1	231123	14223
JL_392_1_GCCAAT.txt	Serum 1	269784	15064
JL_392_1_TAGCTT.txt	Serum 1	238494	14640
JL_392_10_ACTTGA.txt	Serum 1	154987	13085
JL_392_10_CGATGT.txt	Serum 1	110748	10051
JL_392_10_GCCAAT.txt	Serum 1	187927	13873
JL_392_10_TAGCTT.txt	Serum 1	167528	17654
JL_392_2_ACTTGA.txt	Serum 1	189507	20997
JL_392_2_CGATGT.txt	Serum 1	147720	11374
